Erlang,Mean,Intval_0-1
100.0,7.052683546089287e-06,1.1140739792008349e-05
120.0,0.00023053542863082487,0.0002548011884615156
140.0,0.0011093318231239187,0.0011742181604982268
160.0,0.0030126618998396375,0.003141596716645943
180.0,0.007417009168095007,0.007590566977682924
200.0,0.01396801230019743,0.014223125003257795
220.0,0.025373987597454562,0.025633103279548153
240.0,0.03925947086762727,0.039738053986313325
260.0,0.057299324220369784,0.05780790291077145
280.0,0.07711279369807336,0.07765846413055522
300.0,0.09756039085269945,0.09810851256695681
