Erlang,Mean,Intval_0-1
100.0,0.0,0.0
120.0,2.1231255459806287e-05,3.00221564904773e-05
140.0,1.3989931633310036e-05,1.9396066590140766e-05
160.0,0.00019597476902502432,0.0002240247857130514
180.0,0.00033704724444722585,0.0003673136823073716
200.0,0.0010542293448557417,0.0011065804828349565
220.0,0.0018634965975756607,0.0019505161876934077
240.0,0.003011215033834345,0.003084820525347602
260.0,0.004988036106743666,0.005073343346745797
280.0,0.007643687617113687,0.007902190086644927
300.0,0.010926867617059877,0.011061135643536054
