Erlang,Mean,Intval_0-1
100.0,0.0,0.0
120.0,2.0059904218133253e-05,2.598053511195439e-05
140.0,0.00016642573542488402,0.0001922718387808529
160.0,0.000479621005296973,0.0005272757320427514
180.0,0.0010114347089673912,0.0010745346543787903
200.0,0.002281939152816122,0.0023622576521061243
220.0,0.0045010424757919,0.004595628693672524
240.0,0.0066191268010260765,0.006764471371498453
260.0,0.010097007871907756,0.010242108625030649
280.0,0.014712191318610682,0.01497689861595252
300.0,0.01850472674781374,0.018800912953892784
