Erlang,Mean,Intval_0-1
100.0,3.0804845910310155e-06,4.866073606974415e-06
120.0,0.00010970834733827713,0.0001210348468956965
140.0,0.0005172496378124658,0.0005479681095785507
160.0,0.0014210487081445877,0.001478040497699168
180.0,0.003516707239441618,0.003600853038489152
200.0,0.006746951619785832,0.006866988586229025
220.0,0.012301740172343078,0.012419939307407321
240.0,0.01932367752885721,0.019561634080214912
260.0,0.0282891690150746,0.028528862114182048
280.0,0.03872282117907544,0.0390354347268146
300.0,0.049760553437283646,0.050016501893613695
