Erlang,Mean,Intval_0-1,Intval_0+1
200.0,5.204585018752088e-06,4.0030275952161915e-06,6.406142442287984e-06
220.0,8.398611814694842e-06,7.4558553275863665e-06,9.341368301803317e-06
240.0,1.640628106837433e-05,1.5045905603584209e-05,1.776665653316445e-05
260.0,2.6775835957047133e-05,2.4214300865100895e-05,2.933737104899337e-05
280.0,5.678799875114653e-05,5.29513401361973e-05,6.0624657366095756e-05
300.0,0.0001083709730834731,0.0001047611824499181,0.0001119807637170281
320.0,0.00016352022757787902,0.00015820189759309093,0.0001688385575626671
340.0,0.0002911982442874559,0.0002824679723633626,0.0002999285162115492
360.0,0.0004321379681269998,0.00042346711809928753,0.0004408088181547121
380.0,0.0005901721977022549,0.0005771445559908797,0.0006031998394136301
400.0,0.0008297746190442043,0.0008188101712692158,0.0008407390668191927
