Erlang,Mean,Intval_0-1,Intval_0+1
200.0,6.99728727392473e-05,6.593264821867167e-05,7.401309725982293e-05
220.0,0.00013531421255367668,0.00013110512794594926,0.0001395232971614041
240.0,0.00025863527914070085,0.00025406690152143,0.0002632036567599717
260.0,0.0004074863834469188,0.00039472832546071725,0.0004202444414331203
280.0,0.0006275428907058725,0.0006206073889690626,0.0006344783924426824
300.0,0.0009408614518958472,0.0009270126701090072,0.0009547102336826872
320.0,0.0013530698746775816,0.0013350250762210263,0.0013711146731341369
340.0,0.002028858768178209,0.00201654517777809,0.0020411723585783284
360.0,0.002773244482733571,0.002746077203537681,0.0028004117619294605
380.0,0.003707445870879423,0.00367771306110097,0.003737178680657876
400.0,0.00486160676671669,0.0048435469769273955,0.004879666556505985
