Erlang,Mean,Intval_0-1,Intval_0+1
200.0,3.8100000000000005e-05,3.690128713655021e-05,3.92987128634498e-05
220.0,8.2e-05,8.053870053719301e-05,8.346129946280699e-05
240.0,0.00014390000000000003,0.000142155811699099,0.00014564418830090105
260.0,0.0002497,0.0002453485388154092,0.00025405146118459077
280.0,0.00039420000000000004,0.0003922261768174429,0.00039617382318255716
300.0,0.0005772999999999999,0.0005679387102992695,0.0005866612897007302
320.0,0.0008486,0.0008431657397574279,0.0008540342602425721
340.0,0.0012605000000000001,0.0012561005878523376,0.0012648994121476627
360.0,0.0017578,0.0017493891239329068,0.001766210876067093
380.0,0.0023669999999999997,0.002353079387058035,0.0023809206129419645
400.0,0.0031469,0.00313978797574744,0.0031540120242525595
