Erlang,Mean,Intval_0-1,Intval_0+1
200.0,1.5210491503042959e-05,1.3594286566696905e-05,1.6826696439389012e-05
220.0,4.122729662391799e-05,3.831003220196617e-05,4.414456104586981e-05
240.0,6.239819791113027e-05,5.848054131884228e-05,6.631585450341826e-05
260.0,0.00013120581881696257,0.00012422189363620279,0.00013818974399772236
280.0,0.00020043629802561739,0.0001962527041827254,0.00020461989186850937
300.0,0.0003365053974524471,0.000324628176381593,0.0003483826185233012
320.0,0.0005036219029603404,0.0004937727978170066,0.0005134710081036741
340.0,0.0007118743935047536,0.0007023249077067512,0.0007214238793027559
360.0,0.0011078817517164194,0.001094472606338111,0.0011212908970947278
380.0,0.001504608253476483,0.0014842749636184871,0.001524941543334479
400.0,0.0019316384319539707,0.0019174886065485577,0.0019457882573593837
